"No.","Time","Source","Destination","Protocol","Length","Info"
"23826","2017-07-31 12:55:42.317214","10.8.227.69","10.8.113.245","UDP","110","20601  >  60536 Len=68"
"23827","2017-07-31 12:55:42.322372","10.8.227.69","10.8.113.245","TCP","66","59506  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23828","2017-07-31 12:55:42.325188","10.8.113.245","10.8.227.69","TCP","54","443  >  59504 [FIN, ACK] Seq=2427 Ack=902 Win=66048 Len=0"
"23829","2017-07-31 12:55:42.325190","10.8.113.245","10.8.227.69","TCP","66","443  >  59506 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23830","2017-07-31 12:55:42.325273","10.8.227.69","10.8.113.245","TCP","54","59504  >  443 [ACK] Seq=902 Ack=2428 Win=65280 Len=0"
"23831","2017-07-31 12:55:42.325431","10.8.227.69","10.8.113.245","TCP","54","59506  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23832","2017-07-31 12:55:42.332749","10.8.227.69","10.8.113.245","UDP","622","20601  >  60536 Len=580"
"23833","2017-07-31 12:55:42.341520","10.8.227.69","10.8.113.245","TLSv1.2","571","Client Hello"
"23834","2017-07-31 12:55:42.361490","10.8.135.56","10.8.227.69","TCP","54","443  >  59505 [ACK] Seq=1 Ack=518 Win=66304 Len=0"
"23835","2017-07-31 12:55:42.385908","10.8.135.56","10.8.227.69","TLSv1.2","1359","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23836","2017-07-31 12:55:42.393789","10.8.227.69","10.8.135.56","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23837","2017-07-31 12:55:42.403351","10.8.113.245","10.8.227.69","TLSv1.2","1430","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23838","2017-07-31 12:55:42.411746","10.8.227.69","10.8.113.245","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23839","2017-07-31 12:55:42.412231","10.8.135.56","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23840","2017-07-31 12:55:42.413122","10.8.227.69","10.8.135.56","TLSv1.2","310","Application Data"
"23841","2017-07-31 12:55:42.420153","10.8.135.56","10.8.227.69","TLSv1.2","1051","Application Data"
"23842","2017-07-31 12:55:42.423181","10.8.227.69","10.8.135.56","TCP","54","59505  >  443 [FIN, ACK] Seq=900 Ack=2354 Win=66304 Len=0"
"23843","2017-07-31 12:55:42.424931","10.8.113.245","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23844","2017-07-31 12:55:42.425533","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23845","2017-07-31 12:55:42.425873","10.8.227.69","10.8.113.245","TLSv1.2","311","Application Data"
"23846","2017-07-31 12:55:42.427558","10.8.135.56","10.8.227.69","TCP","54","443  >  59505 [FIN, ACK] Seq=2354 Ack=901 Win=66048 Len=0"
"23847","2017-07-31 12:55:42.427620","10.8.227.69","10.8.135.56","TCP","54","59505  >  443 [ACK] Seq=901 Ack=2355 Win=66304 Len=0"
"23848","2017-07-31 12:55:42.429731","10.8.227.69","10.8.135.56","TCP","66","59507  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23849","2017-07-31 12:55:42.432506","10.8.135.56","10.8.227.69","TCP","66","443  >  59507 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23850","2017-07-31 12:55:42.432507","10.8.113.245","10.8.227.69","TLSv1.2","1059","Application Data"
"23851","2017-07-31 12:55:42.432676","10.8.227.69","10.8.135.56","TCP","54","59507  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23852","2017-07-31 12:55:42.435477","10.8.227.69","10.8.113.245","TCP","54","59506  >  443 [FIN, ACK] Seq=901 Ack=2433 Win=65280 Len=0"
"23853","2017-07-31 12:55:42.441191","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23854","2017-07-31 12:55:42.441794","10.8.227.69","10.8.113.245","TCP","66","59508  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23855","2017-07-31 12:55:42.442036","10.8.113.245","10.8.227.69","TCP","54","443  >  59506 [FIN, ACK] Seq=2433 Ack=902 Win=66048 Len=0"
"23856","2017-07-31 12:55:42.442102","10.8.227.69","10.8.113.245","TCP","54","59506  >  443 [ACK] Seq=902 Ack=2434 Win=65280 Len=0"
"23857","2017-07-31 12:55:42.445391","10.8.113.245","10.8.227.69","TCP","66","443  >  59508 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23858","2017-07-31 12:55:42.445486","10.8.227.69","10.8.113.245","TCP","54","59508  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23859","2017-07-31 12:55:42.447491","10.8.227.69","10.8.135.56","TLSv1.2","571","Client Hello"
"23860","2017-07-31 12:55:42.456563","10.8.227.69","10.8.113.245","UDP","61","20602  >  60535 Len=19"
"23861","2017-07-31 12:55:42.460337","10.8.227.69","10.8.113.245","TLSv1.2","571","Client Hello"
"23862","2017-07-31 12:55:42.472254","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23863","2017-07-31 12:55:42.487686","10.8.227.69","10.8.113.245","UDP","110","20601  >  60536 Len=68"
"23864","2017-07-31 12:55:42.503224","10.8.227.69","10.8.113.245","UDP","622","20601  >  60536 Len=580"
"23865","2017-07-31 12:55:42.507583","10.8.135.56","10.8.227.69","TCP","54","443  >  59507 [ACK] Seq=1 Ack=518 Win=66304 Len=0"
"23866","2017-07-31 12:55:42.507585","10.8.135.56","10.8.227.69","TLSv1.2","1359","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23867","2017-07-31 12:55:42.515532","10.8.227.69","10.8.135.56","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23868","2017-07-31 12:55:42.523216","10.8.113.245","10.8.227.69","TLSv1.2","1430","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23869","2017-07-31 12:55:42.529403","10.8.135.56","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23870","2017-07-31 12:55:42.530299","10.8.227.69","10.8.135.56","TLSv1.2","310","Application Data"
"23871","2017-07-31 12:55:42.531349","10.8.227.69","10.8.113.245","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23872","2017-07-31 12:55:42.539126","10.8.135.56","10.8.227.69","TLSv1.2","1058","Application Data"
"23873","2017-07-31 12:55:42.542128","10.8.227.69","10.8.135.56","TCP","54","59507  >  443 [FIN, ACK] Seq=900 Ack=2361 Win=66304 Len=0"
"23874","2017-07-31 12:55:42.544476","10.8.113.245","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23875","2017-07-31 12:55:42.545337","10.8.227.69","10.8.113.245","TLSv1.2","311","Application Data"
"23876","2017-07-31 12:55:42.545683","10.8.135.56","10.8.227.69","TCP","54","443  >  59507 [FIN, ACK] Seq=2361 Ack=901 Win=66048 Len=0"
"23877","2017-07-31 12:55:42.545744","10.8.227.69","10.8.135.56","TCP","54","59507  >  443 [ACK] Seq=901 Ack=2362 Win=66304 Len=0"
"23878","2017-07-31 12:55:42.548506","10.8.227.69","10.8.135.56","TCP","66","59509  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23879","2017-07-31 12:55:42.551702","10.8.113.245","10.8.227.69","TLSv1.2","1060","Application Data"
"23880","2017-07-31 12:55:42.552151","10.8.135.56","10.8.227.69","TCP","66","443  >  59509 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23881","2017-07-31 12:55:42.552272","10.8.227.69","10.8.135.56","TCP","54","59509  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23882","2017-07-31 12:55:42.554620","10.8.227.69","10.8.113.245","TCP","54","59508  >  443 [FIN, ACK] Seq=901 Ack=2434 Win=65280 Len=0"
