megaBytesSent	packetsSent	megaBytesReceived	packetsReceived	
0.0	0	0.0	0
0.0	0	0.0	0
0.0	0	0.0	0
0.0	0	0.0	0
0.0	0	0.0	0
0.0	0	0.0	0
0.0	0	0.00011444091796875	0
0.0	0	0.0	0
0.0	0	0.0	0
0.0	0	0.0	0
0.00307464599609375	36	0.012783050537109375	54
0.015436172485351562	105	0.019548416137695312	107
0.011867523193359375	170	0.03904914855957031	181
0.011867523193359375	170	0.039287567138671875	182
0.012154579162597656	174	0.03323078155517578	175
0.0118865966796875	170	0.032955169677734375	172
0.014970779418945312	177	0.04233741760253906	187
0.014927864074707031	174	0.0375213623046875	183
0.011602401733398438	165	0.03309154510498047	173
0.013030052185058594	174	0.030628204345703125	178
0.1386566162109375	300	0.046418190002441406	287
0.396881103515625	474	0.03317451477050781	307
0.5776653289794922	800	0.6168117523193359	863
0.6530857086181641	1254	1.2268199920654297	1751
0.5884819030761719	1181	1.1724662780761719	1699
0.5696983337402344	636	0.062458038330078125	386
0.6526756286621094	673	0.037532806396484375	378
0.6608524322509766	681	0.04082679748535156	379
0.6585617065429688	689	0.04153251647949219	389
0.641632080078125	663	0.04063224792480469	377
0.6354484558105469	661	0.03434562683105469	367
0.6424417495727539	672	0.04433155059814453	394
0.4724903106689453	646	0.3208427429199219	572
0.7090873718261719	1299	1.2416152954101562	1736
0.5794963836669922	736	0.3014984130859375	688
0.5691432952880859	585	0.03929710388183594	353
0.5227928161621094	560	0.03570556640625	346
0.6091861724853516	622	0.034664154052734375	376
0.5589408874511719	592	0.03394126892089844	359
0.5667171478271484	597	0.033428192138671875	350
0.5771751403808594	608	0.04688453674316406	379
0.5303573608398438	571	0.04913139343261719	369
0.5641212463378906	833	0.5252208709716797	843
0.5856094360351562	1131	1.3228225708007812	1686
0.6007976531982422	627	0.040691375732421875	374
0.5698642730712891	587	0.03290748596191406	347
0.5527725219726562	601	0.05251502990722656	377
0.5738868713378906	600	0.03588294982910156	349
0.5417461395263672	577	0.045970916748046875	364
0.5758266448974609	600	0.033382415771484375	354
0.5783329010009766	603	0.039295196533203125	354
0.5702762603759766	600	0.0465545654296875	374
0.5311431884765625	576	0.03668975830078125	360
0.5346336364746094	838	0.6353168487548828	1047
0.5179195404052734	1130	1.1963310241699219	1680
0.6610622406005859	733	0.17068099975585938	528
0.5869827270507812	623	0.05932044982910156	387
0.5511131286621094	603	0.054721832275390625	366
0.5627841949462891	588	0.04577445983886719	363
0.5932979583740234	626	0.04734992980957031	383
0.572331428527832	611	0.04130363464355469	368
0.5471916198730469	597	0.04285621643066406	381
0.4620933532714844	529	0.04351043701171875	342
0.34825706481933594	975	1.149953842163086	1611
0.3733196258544922	803	0.7457923889160156	1134
0.3139533996582031	438	0.04076576232910156	339
0.32160186767578125	440	0.03587913513183594	349
0.4628868103027344	538	0.03888893127441406	361
0.5637874603271484	613	0.03800201416015625	390
0.5638084411621094	614	0.04508781433105469	407
0.5729866027832031	626	0.0514984130859375	420
0.5743560791015625	629	0.05990791320800781	393
0.561859130859375	598	0.0497589111328125	384
0.5481014251708984	989	0.9766483306884766	1399
0.5829887390136719	990	0.8291835784912109	1225
0.5624885559082031	594	0.048107147216796875	399
0.5655021667480469	600	0.04744529724121094	387
0.5692367553710938	606	0.05003166198730469	389
0.5624427795410156	590	0.04711341857910156	385
0.563079833984375	604	0.05302238464355469	385
0.5719356536865234	607	0.053680419921875	391
0.5628223419189453	597	0.04044342041015625	370
0.5538311004638672	597	0.049396514892578125	378
0.5197925567626953	953	0.9686546325683594	1290
0.5903053283691406	1120	1.0130977630615234	1419
0.5474185943603516	763	0.36348533630371094	737
0.5699596405029297	615	0.059474945068359375	386
0.5630397796630859	601	0.037189483642578125	370
0.5714550018310547	599	0.040256500244140625	366
0.562957763671875	600	0.046794891357421875	380
0.5629024505615234	601	0.040157318115234375	366
0.5634136199951172	609	0.061252593994140625	410
0.5714693069458008	599	0.03744220733642578	376
0.5490760803222656	1012	0.9081554412841797	1348
0.5790023803710938	1080	1.017812728881836	1420
0.5621833801269531	588	0.034000396728515625	364
0.5622291564941406	586	0.03407478332519531	365
0.5630340576171875	592	0.036273956298828125	352
0.5624313354492188	594	0.03394889831542969	363
0.5631351470947266	605	0.04714202880859375	382
0.5718421936035156	600	0.04034996032714844	371
0.5696849822998047	601	0.04098320007324219	381
0.5650997161865234	605	0.04937553405761719	373
0.5725345611572266	945	0.7483196258544922	1125
0.5777225494384766	1094	1.0863494873046875	1490
0.5567445755004883	623	0.13368988037109375	471
0.5619144439697266	581	0.03383827209472656	359
0.5643157958984375	597	0.05594825744628906	388
0.5589656829833984	580	0.03408241271972656	365
0.5655841827392578	589	0.04067420959472656	377
0.56866455078125	581	0.0348968505859375	374
0.5648975372314453	583	0.03389167785644531	363
0.5589237213134766	577	0.03722381591796875	374
0.5475063323974609	635	0.2640800476074219	530
0.5909519195556641	1171	1.3047733306884766	1743
0.5618648529052734	850	0.5360050201416016	929
0.5630626678466797	602	0.05971527099609375	392
0.5716114044189453	601	0.04323577880859375	374
0.5616016387939453	579	0.03418540954589844	367
0.5622100830078125	590	0.03290367126464844	345
0.6217174530029297	634	0.034633636474609375	362
0.5155715942382812	578	0.05850028991699219	373
0.5681209564208984	597	0.03725433349609375	370
0.5664043426513672	605	0.046695709228515625	378
0.5694084167480469	728	0.3073692321777344	642
0.5617275238037109	1087	1.131856918334961	1639
0.5490684509277344	1004	0.9556674957275391	1431
0.5540142059326172	593	0.041027069091796875	356
0.5625820159912109	597	0.04205513000488281	377
